START Training

MAX_NUMBER_OF_GENERATIONS = 1000
NUMBER_OF_PLAYERS = 2
Population : PopulationTetrisInitFromString:
-0.7463702983468092 -0.6204272855664469 -4.772396962933903 4.3449783489821945 2.839652628013164 2.5851323029525437
-1.883044672568639 -2.919143905543539 -0.9635902219449264 0.6318194885637246 2.327135898474488 3.3333714945370376
NUMBER_OF_PLAYER_WEIGHTS = 6
WEIGHT_MIN = -5.0 -5.0 -5.0 0.0 0.0 0.0 
WEIGHT_MAX = 0.0 0.0 0.0 5.0 5.0 5.0 
NUMBER_OF_GAME_MANAGER_THREADS = 1
MIN_PERCENTAGE_OF_MAXIMUM_OF_MOVES_TO_ASK_PLAYERS_TO_PLAY_FOR_NEXT_GENERATION = 10.0

Controller_PlayerRobotGenetic.EVALUATION_CURRENT_GRID_IMPORTANCE = 0.5
Controller_PlayerRobotGenetic.EVALUATION_NEXT_TETROMINO_IMPORTANCE = 0.25
Controller_PlayerRobotGenetic.EVALUATION_ALL_TETROMINOES_IMPORTANCE = 0.25
Controller_PlayerRobotGenetic.ACCURACY_HOW_MANY_POSITIONS_TO_CHECK_IN_ADVANCE_PERCENTAGE = 1.0

MAX_NUMBER_OF_PLAYERS_TO_SELECT_FOR_MUTATION = 0
MAX_NUMBER_OF_PLAYERS_TO_SELECT_FOR_CROSSOVER_AND_MUTATION = 1
MAX_NUMBER_OF_PLAYERS_TO_SELECT_FOR_CROSSOVER = 0
MUTATION_PROBABILITY_TO_ALLOW_CHILD_TO_GO_TO_NEXT_GENERATION_EVEN_IF_WEAKER = 0.0
CROSSOVER_PROBABILITY_TO_ALLOW_CHILD_TO_GO_TO_NEXT_GENERATION_EVEN_IF_WEAKER = 0.0
CROSSOVER_MUTATION_PROBABILITY_TO_ALLOW_CHILD_TO_GO_TO_NEXT_GENERATION_EVEN_IF_WEAKER = 0.0

MUTATION_TYPE_UNIFORM_PROBABILITY_TO_PICK = 0.1
MUTATION_TYPE_NONUNIFORM_PROBABILITY_TO_PICK = 0.9
FORCE_UNIFORM_MUTATION_FOR_FIRST_GENERATIONS = 0
MUTATION_TYPE_UNIFORM_PROBABILITY_TO_CHANGE_WEIGHT = 0.5
WEIGHT_MAX_TO_CHANGE_ON_NONUNIFORM_MUTATION = 0.5

CROSSOVER_TYPE_DISCREET_PROBABILITY_TO_PICK = 0.3
CROSSOVER_TYPE_INTERMEDIATE_SINGULAR_PROBABILITY_TO_PICK = 0.5
CROSSOVER_TYPE_INTERMEDIATE_COMPLETE_PROBABILITY_TO_PICK = 0.2
CROSSOVER_TYPE_INTERMEDIATE_ALPHA = 0.3

LOG_OPERATORS_OF_EVOLUTION = true
LOG_EACH_GAME = false
LOG_EACH_MOVE = false
LOG_EACH_MOVE_IN_ADVANCE = false
TIME_TO_LOG_PROGRESS = 30000

######################################################
Generation 1 START
######################################################

[2013.06.23 11:57:57 Generation #1]
0 chromosomes replaced through mutation so far
0 chromosomes replaced through crossover&mutation so far
0 chromosomes replaced through crossover so far
Best player of previous generation: 0 moves | 0 score | -
Max Number of Moves so far        : 0 moves | -
Max Score so far                  : 0 score | -

--Game for all players in current generation--

[2013.06.23 11:58:27 Generation #1 - Move #352 - Robot Genetic 1]
[2013.06.23 11:58:57 Generation #1 - Move #718 - Robot Genetic 2]
[2013.06.23 11:59:27 Generation #1 - Move #1082 - Robot Genetic 1]
[2013.06.23 11:59:57 Generation #1 - Move #1444 - Robot Genetic 2]
[2013.06.23 12:00:27 Generation #1 - Move #1815 - Robot Genetic 1]
[2013.06.23 12:00:57 Generation #1 - Move #2184 - Robot Genetic 2]
[2013.06.23 12:01:27 Generation #1 - Move #2561 - Robot Genetic 2]
[2013.06.23 12:01:57 Generation #1 - Move #2950 - Robot Genetic 2]
[2013.06.23 12:02:27 Generation #1 - Move #3314 - Robot Genetic 1]
[2013.06.23 12:02:57 Generation #1 - Move #3685 - Robot Genetic 1]
[2013.06.23 12:03:27 Generation #1 - Move #4055 - Robot Genetic 2]
[2013.06.23 12:03:57 Generation #1 - Move #4431 - Robot Genetic 2]
[2013.06.23 12:04:27 Generation #1 - Move #4819 - Robot Genetic 1]
[2013.06.23 12:04:57 Generation #1 - Move #5198 - Robot Genetic 2]
[2013.06.23 12:05:27 Generation #1 - Move #5575 - Robot Genetic 1]
[2013.06.23 12:05:58 Generation #1 - Move #5954 - Robot Genetic 1]
[2013.06.23 12:06:28 Generation #1 - Move #6324 - Robot Genetic 1]
[2013.06.23 12:06:58 Generation #1 - Move #6695 - Robot Genetic 1]
[2013.06.23 12:07:28 Generation #1 - Move #7055 - Robot Genetic 1]
[2013.06.23 12:07:58 Generation #1 - Move #7422 - Robot Genetic 1]
[2013.06.23 12:08:28 Generation #1 - Move #7800 - Robot Genetic 1]
[2013.06.23 12:08:58 Generation #1 - Move #8173 - Robot Genetic 2]
[2013.06.23 12:09:28 Generation #1 - Move #8528 - Robot Genetic 2]
[2013.06.23 12:09:58 Generation #1 - Move #8901 - Robot Genetic 2]
[2013.06.23 12:10:28 Generation #1 - Move #9280 - Robot Genetic 2]
[2013.06.23 12:10:58 Generation #1 - Move #9632 - Robot Genetic 2]
[2013.06.23 12:11:28 Generation #1 - Move #9984 - Robot Genetic 2]
[2013.06.23 12:11:58 Generation #1 - Move #10356 - Robot Genetic 2]
[2013.06.23 12:12:28 Generation #1 - Move #10723 - Robot Genetic 2]
[2013.06.23 12:12:58 Generation #1 - Move #11097 - Robot Genetic 2]
[2013.06.23 12:13:28 Generation #1 - Move #11462 - Robot Genetic 1]
[2013.06.23 12:13:58 Generation #1 - Move #11852 - Robot Genetic 2]
[2013.06.23 12:14:28 Generation #1 - Move #12248 - Robot Genetic 2]
[2013.06.23 12:14:58 Generation #1 - Move #12620 - Robot Genetic 1]
[2013.06.23 12:15:28 Generation #1 - Move #13004 - Robot Genetic 1]
[2013.06.23 12:15:58 Generation #1 - Move #13391 - Robot Genetic 1]
[2013.06.23 12:16:28 Generation #1 - Move #13760 - Robot Genetic 1]
[2013.06.23 12:16:58 Generation #1 - Move #14150 - Robot Genetic 1]
[2013.06.23 12:17:28 Generation #1 - Move #14517 - Robot Genetic 1]
[2013.06.23 12:17:58 Generation #1 - Move #14902 - Robot Genetic 2]
[2013.06.23 12:18:28 Generation #1 - Move #15284 - Robot Genetic 1]
[2013.06.23 12:18:58 Generation #1 - Move #15640 - Robot Genetic 1]
[2013.06.23 12:19:28 Generation #1 - Move #16011 - Robot Genetic 1]
[2013.06.23 12:19:58 Generation #1 - Move #16386 - Robot Genetic 1]
[2013.06.23 12:20:28 Generation #1 - Move #16750 - Robot Genetic 1]
[2013.06.23 12:20:58 Generation #1 - Move #17146 - Robot Genetic 1]
